,Unnamed: 0,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
55,55,429,2019-12-01 02:14:34.4730,2019-12-01 02:21:44.4210,59,Chinatown Gate Plaza,42.351356,-71.059367,163,The Lawn on D,42.344792,-71.044024,3578,Subscriber,1994,1
56,56,103,2019-12-01 02:25:24.7330,2019-12-01 02:27:07.8850,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,5762,Subscriber,1994,1
57,57,976,2019-12-01 02:29:15.6080,2019-12-01 02:45:32.4610,107,Ames St at Main St,42.3625,-71.08822,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4127,Subscriber,1994,1
58,58,1111,2019-12-01 02:30:25.2390,2019-12-01 02:48:56.5910,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,352,Ring Rd,42.348278385426255,-71.08044855314802,2975,Subscriber,1994,1
59,59,364,2019-12-01 02:32:18.6320,2019-12-01 02:38:22.7580,107,Ames St at Main St,42.3625,-71.08822,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,6097,Subscriber,1992,1
60,60,319,2019-12-01 02:35:43.1990,2019-12-01 02:41:02.9970,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5684,Customer,2000,1
61,61,166,2019-12-01 02:36:04.5210,2019-12-01 02:38:50.6390,176,Lesley University,42.38674802045056,-71.11901879310608,334,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,5329,Subscriber,1991,2
62,62,827,2019-12-01 02:58:01.6310,2019-12-01 03:11:49.0340,327,Main St at Thompson Sq,42.374878467440965,-71.06383498767171,188,Foss Park,42.39108438146733,-71.09039425849915,4773,Subscriber,1986,1
63,63,329,2019-12-01 03:07:11.3090,2019-12-01 03:12:40.9900,98,Warren St at Chelsea St,42.371848,-71.060292,47,Cross St at Hanover St,42.362811,-71.056067,6040,Subscriber,1989,1
64,64,1153,2019-12-01 03:15:37.8610,2019-12-01 03:34:50.9510,33,Kenmore Square,42.348706,-71.097009,338,Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847,4107,Subscriber,1972,1
65,65,2026,2019-12-01 03:18:47.0070,2019-12-01 03:52:33.3890,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,236,Assembly Square T,42.39223284004628,-71.07746601104736,3146,Customer,1969,0
66,66,1946,2019-12-01 03:20:01.1720,2019-12-01 03:52:27.5610,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,236,Assembly Square T,42.39223284004628,-71.07746601104736,5184,Customer,1969,0
67,67,554,2019-12-01 03:23:26.7210,2019-12-01 03:32:41.3340,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,3076,Subscriber,1959,2
68,68,1979,2019-12-01 03:27:48.3130,2019-12-01 04:00:47.5870,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,137,Magoun Square at Trum Field,42.398365,-71.107818,5643,Subscriber,1991,1
69,69,327,2019-12-01 03:47:57.5990,2019-12-01 03:53:25.2360,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,161,W Broadway at D St,42.3391085,-71.0514432,2194,Subscriber,1992,1
70,70,343,2019-12-01 03:58:12.4770,2019-12-01 04:03:56.3150,161,W Broadway at D St,42.3391085,-71.0514432,222,Troy Boston,42.343749,-71.062256,4503,Subscriber,1992,1
